	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1580_f_at	14.78	A	0.98	6.44	A	0.93	19.52	A	0.95	8.69	A	0.95	24.97	A	0.95	7.52	A	0.95	27.24	A	0.81	22.04	A	0.94
1581_s_at	76.43	A	0.22	26.01	A	0.23	472.11	P	0	642.78	P	0	63.91	A	0.56	69.25	A	0.42	11.81	A	0.75	28.13	A	0.66
1582_at	163.67	A	0.12	37.65	A	0.54	156.44	A	0.28	94.92	A	0.2	92.14	A	0.58	54.78	A	0.52	173.6	A	0.18	317.23	A	0.11
1583_at	316.41	A	0.23	259.28	M	0.04	157.31	A	0.4	243.82	A	0.28	797.03	P	0.03	831.37	M	0.04	642.12	A	0.07	916.34	A	0.16
1584_at	57.65	A	0.6	41.02	A	0.7	74.7	A	0.44	24.72	A	0.78	112.86	A	0.44	50.42	A	0.44	36.3	A	0.68	26.14	A	0.84
1585_at	302.9	P	0	201.87	P	0	87.34	P	0.02	40.16	A	0.16	420.58	P	0	435.49	P	0	193.29	P	0.01	474.24	P	0
1586_at	71.01	A	0.5	196.08	A	0.23	393.28	A	0.22	342.51	P	0.03	3309.62	P	0	3887.92	P	0	2845.58	P	0.01	2650.33	P	0
1587_at	91.73	A	0.82	212.8	A	0.42	109.23	A	0.58	68	A	0.58	462.14	A	0.22	233.45	A	0.4	267.29	A	0.54	151.77	A	0.7
1588_at	154.44	A	0.34	94.96	A	0.22	144.62	A	0.19	172.42	A	0.22	62.72	A	0.48	160.59	A	0.3	176.07	A	0.36	66.03	A	0.78
1589_s_at	135.42	A	0.27	77.86	A	0.18	268.86	M	0.04	207.81	M	0.04	271.07	A	0.11	372.69	P	0.01	210.11	A	0.13	184.83	A	0.18
159_at	11.43	A	0.98	16.19	A	0.7	20.24	A	0.86	19.47	A	0.77	30.38	A	0.85	12.92	A	0.89	10.78	A	0.95	20.18	A	0.91
1590_s_at	1636.46	P	0	1604.55	P	0	728	P	0	784.91	P	0	226.14	A	0.4	163.24	A	0.3	159.59	A	0.25	121.28	A	0.56
1591_s_at	306.17	A	0.12	395.28	M	0.04	633.95	P	0.03	490.29	P	0.02	31768.26	P	0	23244.52	P	0	2138.31	P	0	2719.07	P	0
1592_at	93.43	A	0.34	71.83	A	0.2	269.75	P	0	238.95	P	0	250.4	A	0.06	255.77	P	0.01	105.25	A	0.5	240.72	A	0.25
1593_at	53	A	0.08	73.11	P	0.01	73.33	A	0.11	91.62	A	0.14	152.15	P	0.04	29.49	A	0.22	61.43	A	0.36	104.85	A	0.18
1594_at	554.25	P	0.02	544.31	P	0	582.4	P	0.02	585.06	P	0.02	845.39	P	0.01	902.51	P	0	691.2	P	0.04	636.82	P	0.03
1595_at	155.03	A	0.56	159.78	A	0.27	326.83	A	0.27	188.41	A	0.3	146.56	A	0.48	209.46	A	0.4	47.31	A	0.7	67.53	A	0.68
1596_g_at	271.68	P	0	175.68	P	0	142.84	A	0.07	129.64	P	0.04	244.74	P	0.02	302.16	P	0	261.54	P	0.02	185.76	A	0.22
1597_at	770.54	P	0.01	688.97	P	0	316.6	A	0.19	196.05	A	0.2	147.33	A	0.58	107.64	A	0.58	334.5	A	0.25	165.35	A	0.52
1598_g_at	3148.46	P	0.01	3426.85	P	0	1817.13	P	0.01	1056.22	P	0.02	459.43	A	0.46	1010.4	A	0.13	1155.82	A	0.19	1312.03	A	0.1
1599_at	15.84	A	0.87	8.69	A	0.8	14.66	A	0.96	10.01	A	0.84	196.47	A	0.2	243.25	M	0.04	21.72	A	0.81	14.29	A	0.95
160_at	589.49	P	0.02	485.86	P	0.01	697.24	P	0.02	563.09	P	0.02	334.22	A	0.1	303.42	P	0.03	72.45	A	0.58	38.04	A	0.62
1600_at	93.43	A	0.2	92.02	M	0.05	163.86	P	0.03	107.72	A	0.27	201.12	A	0.07	54.59	A	0.14	191.58	A	0.12	216.21	M	0.05
1601_s_at	35.48	A	0.94	45.92	A	0.72	48.6	A	0.75	30.15	A	0.86	59.97	A	0.9	43.69	A	0.88	52.92	A	0.92	49.1	A	0.91
1602_at	348.75	P	0.02	228.36	P	0.01	405.81	P	0	593.79	P	0	176.52	P	0.03	137.95	P	0.01	26.29	A	0.4	70.29	A	0.42
1603_g_at	365.55	P	0.01	188.78	P	0	609.93	P	0	737.05	P	0	125.03	A	0.13	204.98	P	0.04	85.94	A	0.16	49.29	A	0.5
1604_at	34.24	A	0.8	12.39	A	0.86	18.79	A	0.9	11.46	A	0.94	23.55	A	0.94	39.38	A	0.78	91.43	A	0.68	18.14	A	0.82
1605_g_at	45.05	A	0.7	78.12	A	0.25	438.15	P	0	613.49	P	0	71.95	A	0.78	37.74	A	0.73	31.01	A	0.92	76.47	A	0.72
1606_at	1406.41	P	0	1502.19	P	0	1060.84	P	0	1328.78	P	0	344.73	A	0.27	274.37	A	0.14	271.83	A	0.22	431.81	A	0.1
1607_at	43.07	A	0.84	75.78	A	0.68	26.07	A	0.93	11.18	A	0.9	94.22	A	0.87	20.19	A	0.96	67.4	A	0.82	29.29	A	0.93
1608_at	75.55	A	0.85	33.77	A	0.86	124.01	A	0.62	195.54	A	0.44	53.48	A	0.77	45.82	A	0.7	55.05	A	0.78	188.34	A	0.58
1609_g_at	242.34	A	0.22	162.43	A	0.16	321.2	A	0.07	209.92	A	0.2	225.87	A	0.23	269.73	A	0.2	181.38	A	0.62	92.64	A	0.6
161_at	78.73	A	0.32	1.68	A	0.86	55.6	A	0.54	13.38	A	0.64	61.06	A	0.58	38.49	A	0.44	55.68	A	0.46	51.82	A	0.4
1610_s_at	20.85	A	0.89	35.4	A	0.42	37.4	A	0.68	50.62	A	0.7	88.25	A	0.52	142.16	A	0.22	22.31	A	0.84	66.52	A	0.62
1611_s_at	17.12	A	0.96	51.29	A	0.38	15.02	A	0.93	10.74	A	0.95	18.67	A	0.9	13.87	A	0.87	17.92	A	0.88	19.67	A	0.96
1612_s_at	16331.18	P	0	19425.31	P	0	10649.82	P	0	9239.28	P	0	19847.4	P	0	16443.87	P	0	9665.47	P	0	7565.7	P	0
1613_s_at	130.76	A	0.32	79.87	A	0.19	132.12	A	0.27	29.7	A	0.56	130.69	A	0.62	100.38	A	0.32	38.24	A	0.62	108.32	A	0.48
1614_s_at	96.36	A	0.42	63.54	A	0.38	216.81	P	0.04	342.81	A	0.07	64.91	A	0.7	130.79	A	0.5	119.22	A	0.54	53.29	A	0.54
1615_at	158.24	A	0.58	577.89	A	0.2	521.71	A	0.44	447.94	A	0.44	1430.88	A	0.07	1293.63	A	0.1	501.79	A	0.62	783.9	A	0.32
1616_at	526.77	P	0	321.91	P	0	1195.67	P	0	1302.74	P	0	69.13	A	0.27	79.08	A	0.07	12.53	A	0.84	62.45	A	0.42
1617_at	38.62	A	0.86	14.95	A	0.88	39.71	A	0.77	33.12	A	0.77	187.67	A	0.6	70.06	A	0.72	37.52	A	0.73	56.99	A	0.81
1618_at	10.52	A	0.99	1.95	A	0.9	5.8	A	0.91	3.78	A	0.73	8.8	A	0.96	3.84	A	0.95	3.41	A	0.99	3.41	A	0.96
1619_g_at	35.88	A	0.87	104.85	A	0.6	26.08	A	0.84	11.26	A	0.87	274.75	A	0.32	163.19	A	0.46	22.45	A	0.85	68.54	A	0.8
162_at	16502.58	P	0	18856.86	P	0	6029.1	P	0	5157.68	P	0	2354.54	P	0	2302.63	P	0	1927.38	P	0	2847.94	P	0
1620_at	33.99	A	0.73	10.44	A	0.85	35.64	A	0.68	30.66	A	0.52	16.35	A	0.89	24.52	A	0.78	65.81	A	0.77	161.85	A	0.7
1621_at	26.52	A	0.81	20.84	A	0.6	30.83	A	0.68	114.63	A	0.34	27.89	A	0.86	14.44	A	0.86	21.43	A	0.82	19.57	A	0.77
1622_at	91.01	A	0.36	345.56	A	0.22	186.8	A	0.3	287.64	A	0.23	1457.68	P	0	1845.88	P	0	1962.23	P	0.04	525.08	A	0.07
1623_s_at	142.72	A	0.22	45.84	A	0.38	132.18	A	0.22	208.8	P	0.03	227.36	A	0.3	92.79	A	0.19	64.12	A	0.38	173.48	A	0.23
1624_at	492.7	P	0.01	344.69	P	0	1098.73	P	0	1042.12	P	0	159.35	P	0	158.71	P	0.04	115.35	A	0.07	161.82	A	0.08
1625_at	59.08	A	0.3	7.71	A	0.68	26.83	A	0.5	22.42	A	0.46	112.39	A	0.44	75.31	A	0.42	99.86	A	0.42	155.02	A	0.28
1626_at	253.94	A	0.3	29.56	A	0.52	71.21	A	0.64	52.59	A	0.58	296.9	A	0.28	288.46	A	0.23	430	A	0.16	424.03	A	0.23
1627_at	1271.51	A	0.06	513.33	P	0.02	1064.2	P	0.01	1066.14	P	0.01	2338.86	P	0.01	1504	P	0	1432.98	P	0.01	3122.46	A	0.07
1628_at	28.1	A	0.87	21.74	A	0.73	36.51	A	0.81	27.83	A	0.7	223.87	A	0.44	41.88	A	0.75	48.49	A	0.89	59.47	A	0.64
1629_s_at	184.07	A	0.08	185.93	M	0.04	749.69	P	0.01	768.28	P	0	67.78	A	0.54	89.65	A	0.27	27.62	A	0.81	242.35	A	0.32
163_at	781.45	P	0.04	765.72	P	0.01	778.67	M	0.04	686.93	P	0.04	429.04	A	0.18	362.34	A	0.19	676.54	A	0.22	598.92	A	0.16
1630_s_at	57.11	A	0.58	69.37	A	0.54	179.77	A	0.38	268.93	A	0.34	286.71	A	0.5	457.53	A	0.27	140.81	A	0.48	149.18	A	0.44
1631_at	45.04	A	0.93	22.36	A	0.96	58.21	A	0.9	31.73	A	0.96	78.6	A	0.89	69.26	A	0.81	65.97	A	0.94	84.06	A	0.88
1632_at	73.76	A	0.62	43.28	A	0.54	87.48	A	0.52	56.5	A	0.64	136.26	A	0.32	88.5	A	0.44	95.67	A	0.6	83.71	A	0.66
1633_g_at	676.35	P	0.02	847.61	P	0	557.02	P	0.04	715.82	P	0.01	1348.44	P	0	1600.35	P	0	480.67	M	0.05	313.44	A	0.1
1634_s_at	27.76	A	0.73	9.43	A	0.82	17.17	A	0.66	8.62	A	0.8	27.29	A	0.72	14.13	A	0.77	22.71	A	0.7	14.39	A	0.87
1635_at	619.54	M	0.05	1014.33	P	0.01	950.78	P	0.01	1076.8	P	0.01	525.92	A	0.13	510.73	P	0.03	449.11	A	0.12	618.13	A	0.15
1636_g_at	1342.73	P	0	1652.58	P	0	1623.21	P	0	1633.51	P	0	919.72	P	0.01	883.16	P	0.01	933.26	P	0.04	805.14	M	0.05
1637_at	130.48	A	0.42	199.29	A	0.23	52.17	A	0.75	39.67	A	0.86	506.87	A	0.22	454.25	A	0.18	504.52	A	0.27	332.92	A	0.46
1638_at	60.54	A	0.5	68.94	A	0.4	129.4	A	0.16	168.84	A	0.14	219.12	A	0.19	301.52	A	0.1	226.39	A	0.18	140.04	A	0.3
1639_s_at	119.21	A	0.11	48.69	A	0.22	87.15	A	0.2	157.33	P	0.01	71.78	A	0.36	113.9	M	0.05	56.76	A	0.32	88.21	A	0.44
164_at	272.33	A	0.56	302	A	0.34	435.91	A	0.28	451.54	A	0.3	277.66	A	0.52	163.36	A	0.56	577.22	A	0.5	450.48	A	0.36
1640_at	775.61	P	0	618.19	P	0	888.98	P	0	917.3	P	0	580.26	P	0	785.83	P	0	360.36	P	0	486.18	P	0
1641_s_at	2493.86	P	0	2648.35	P	0	1633.71	P	0	1564.04	P	0	1934.75	P	0	2196.12	P	0	2180.24	P	0	2512.87	P	0
1642_at	569.92	A	0.27	767.69	A	0.1	933.74	P	0.02	954.16	P	0.03	511.6	A	0.44	516.41	A	0.34	213.47	A	0.64	918.24	A	0.3
1643_g_at	535.23	P	0	710.06	P	0	1634.07	P	0	1298.43	P	0	497.66	P	0	444.88	P	0	306.32	P	0	536.63	P	0.01
1644_at	681.32	P	0.01	628.34	P	0	761.15	P	0.01	806.21	P	0.01	1011	P	0	1266.69	P	0	952.71	P	0.03	945.99	P	0.02
1645_at	48.39	A	0.78	152.94	A	0.4	75.52	A	0.54	83.79	A	0.54	44.23	A	0.73	55.04	A	0.7	209.34	A	0.64	113.26	A	0.58
1646_at	53.61	A	0.56	131.29	A	0.07	180.64	A	0.15	275.1	A	0.12	55.91	A	0.85	79.33	A	0.4	47.47	A	0.81	97.82	A	0.75
1647_at	170.13	A	0.07	51.77	A	0.07	283.98	P	0	248.85	P	0	474.45	P	0	497.82	P	0	317.57	P	0	436.41	P	0.01
1648_at	98.06	A	0.13	23.9	A	0.28	61.75	A	0.38	25	A	0.34	147.33	A	0.1	178.25	P	0.01	83.89	A	0.25	74.11	A	0.15
1649_at	436.09	A	0.08	514.6	P	0.01	242.84	A	0.2	318.43	A	0.14	1238.1	P	0.01	1103.33	P	0	64.23	A	0.72	211.47	A	0.42
165_g_at	16.15	A	0.99	8.96	A	1	15.76	A	0.99	16.33	A	0.99	29.88	A	0.98	23.01	A	0.98	21.92	A	0.98	45.87	A	0.98
1650_g_at	514.78	A	0.46	1180.07	A	0.13	198.57	A	0.6	297.47	A	0.58	3667.58	P	0.02	3597.32	P	0.01	186.79	A	0.81	212.06	A	0.73
1651_at	65.78	A	0.5	84.94	A	0.46	278.23	A	0.18	318.51	A	0.15	1616.78	P	0.01	1712.66	P	0	156.64	A	0.54	139.99	A	0.52
1652_at	56.96	A	0.62	176.23	A	0.1	225.76	A	0.32	88.08	A	0.46	308.07	A	0.25	181.97	A	0.11	50.39	A	0.89	34.11	A	0.93
1653_at	9338.55	P	0	8220.8	P	0	17531.42	P	0	22233.4	P	0	13464.01	P	0	12782.15	P	0	10837.47	P	0	9388.44	P	0
1654_at	43.07	A	0.91	36.25	A	0.72	46.89	A	0.77	70.38	A	0.6	39.91	A	0.88	34.45	A	0.77	59.03	A	0.82	45.31	A	0.94
1655_s_at	14.41	A	0.56	6.52	A	0.7	19.79	A	0.9	16.28	A	0.78	22.52	A	0.72	5.56	A	0.97	11.2	A	0.86	57.92	A	0.62
1656_s_at	66.88	A	0.8	34.61	A	0.72	41.77	A	0.73	59.25	A	0.6	60.62	A	0.81	43.11	A	0.85	21.47	A	0.98	63.66	A	0.85
1657_at	126.5	M	0.04	158.98	P	0.01	176.14	A	0.14	301.77	P	0.02	20.08	A	0.85	18.06	A	0.84	10.45	A	0.95	10.03	A	0.96
1658_g_at	282.34	P	0.04	205.06	P	0	236.06	P	0.01	250.91	P	0	46.46	A	0.56	14.51	A	0.8	45.65	A	0.7	30.61	A	0.54
1659_s_at	1625.7	P	0	1619.22	P	0	1459.82	P	0	1877.68	P	0	707.07	P	0	1472.96	P	0	366.6	P	0	774.48	P	0
166_at	80.29	A	0.68	488.93	A	0.36	99.54	A	0.56	75.77	A	0.5	857.46	A	0.25	268.08	A	0.38	595.05	A	0.42	1141.74	A	0.27
1660_at	525.34	P	0.01	515.37	P	0	814.77	P	0	981.86	P	0	350.44	P	0	544.66	P	0	489.97	P	0.01	332.2	P	0
1661_i_at	265.8	P	0.02	212.68	A	0.08	437.77	P	0.03	330.63	A	0.08	194.35	A	0.3	442.93	P	0.03	427.24	M	0.05	562.91	P	0.02
1662_r_at	448.44	A	0.23	1422.64	A	0.3	1456.35	A	0.23	155.56	A	0.7	1074.33	A	0.3	337.4	A	0.46	841.02	A	0.23	2769.97	A	0.09
1663_at	317.16	A	0.58	186.95	A	0.58	703.11	A	0.25	552.07	A	0.25	513.11	A	0.38	586.37	A	0.34	128.56	A	0.7	174.79	A	0.62
1664_at	786.58	P	0.04	762.73	P	0.01	927.33	P	0.03	1010.28	P	0.02	16661.92	P	0	9152.6	P	0	6057.56	P	0	8443.92	P	0
1665_s_at	38.06	A	0.99	31.92	A	0.99	42.19	A	0.99	33.35	A	0.98	117.91	A	0.96	39.94	A	0.97	176.13	A	0.78	61.06	A	0.86
1666_at	132.32	A	0.08	58.08	A	0.07	104.4	A	0.08	53.17	A	0.07	181.25	A	0.25	121.04	M	0.05	124.19	A	0.09	222.86	M	0.05
1667_s_at	152.96	A	0.86	97.93	A	0.68	146.99	A	0.52	559.18	A	0.42	280.42	A	0.42	195.09	A	0.36	208.18	A	0.56	331.98	A	0.52
1668_s_at	267.23	A	0.2	467.94	A	0.13	936.7	P	0	689.35	P	0	202.28	A	0.54	333.48	A	0.3	72.54	A	0.75	52.51	A	0.88
1669_at	37.39	A	0.58	75.03	A	0.14	153.63	A	0.06	96.06	A	0.11	18.22	A	0.93	22.62	A	0.56	12.16	A	0.75	44.87	A	0.54
167_at	538.5	P	0	438.23	P	0	722.28	P	0	951.48	P	0	783.26	P	0	869.65	P	0	251.81	M	0.05	266.24	A	0.14
1670_at	32.57	A	0.89	30.63	A	0.7	144.99	A	0.52	204.55	A	0.32	473.05	A	0.27	720.72	A	0.07	17.88	A	0.98	25.59	A	0.96
1671_s_at	150.63	A	0.23	186.38	P	0.04	427.45	A	0.07	316.19	A	0.08	479.88	M	0.05	394.79	P	0.04	224.3	A	0.14	430.8	A	0.1
1672_f_at	11.68	A	0.99	5.4	A	0.99	9.99	A	0.99	8.69	A	0.96	8.89	A	0.98	6.25	A	0.98	9.06	A	0.99	10.61	A	0.98
1673_at	384.86	A	0.1	244.6	A	0.13	401.02	A	0.07	359.71	A	0.14	847.57	P	0.04	702.79	P	0.01	1093.89	P	0.01	862.01	P	0.01
1674_at	153.06	P	0	146.93	P	0	442.48	P	0	415.95	P	0	126.02	P	0.01	255.92	P	0	136.74	P	0.03	135.44	A	0.07
1675_at	803.88	P	0	551.99	P	0	1373.04	P	0	1301.2	P	0	155.74	P	0.02	249.92	P	0	180.36	A	0.11	131.18	A	0.4
1676_s_at	6877.35	P	0	6805.38	P	0	15139.13	P	0	18731.51	P	0	14502.13	P	0	14091.14	P	0	20128.73	P	0	14032.96	P	0
1677_at	64.79	A	0.77	35.92	A	0.77	159.84	A	0.36	175.22	A	0.36	151.47	A	0.4	141.63	A	0.42	67.06	A	0.68	82.89	A	0.58
1678_g_at	12.89	A	1	6.16	A	0.89	45.76	A	0.77	99.56	A	0.52	21.39	A	0.95	69.56	A	0.66	36.37	A	0.81	27.09	A	0.87
1679_at	87	A	0.06	69.6	P	0.01	126.24	P	0.01	135.62	P	0	44.79	A	0.6	21.67	A	0.34	6.52	A	0.78	10.61	A	0.62
168_at	161.11	P	0.04	25.61	P	0.04	51.23	A	0.06	102.77	P	0.02	96.35	M	0.05	66.87	P	0.04	112.58	P	0.03	131.02	P	0.01
1680_at	70.86	A	0.72	88.38	A	0.58	421.34	A	0.2	247.5	A	0.3	670.83	A	0.32	448.2	A	0.14	989.94	A	0.18	831.52	A	0.15
1681_at	370.57	A	0.3	291.7	A	0.15	461.11	A	0.16	354.84	A	0.22	641.36	A	0.19	604.93	A	0.12	775.82	A	0.25	938.69	A	0.12
1682_s_at	42.72	A	0.77	17.75	A	0.75	33.73	A	0.82	81.68	A	0.62	136.5	A	0.44	85.37	A	0.48	26.78	A	0.78	43.21	A	0.75
1683_at	352.38	A	0.28	266.91	A	0.34	460.65	A	0.12	305.49	A	0.3	707.74	A	0.19	541.3	A	0.1	496.93	A	0.19	422.36	A	0.28
1684_s_at	233.02	A	0.8	244.39	A	0.62	246.46	A	0.64	186.28	A	0.6	189.81	A	0.8	224.4	A	0.73	183.96	A	0.7	248.54	A	0.64
1685_at	360.46	P	0.01	243.51	P	0	237.25	P	0.01	198.42	P	0.02	201.3	M	0.04	141.77	P	0.01	174.41	A	0.08	154.46	A	0.25
1686_g_at	1195.74	P	0.01	1352.8	P	0.01	1036.81	P	0.04	865.37	P	0.03	803.32	A	0.13	812.41	A	0.06	586.86	A	0.22	555.38	A	0.11
1687_s_at	59.74	A	0.86	196.22	A	0.5	41.52	A	0.85	46.93	A	0.78	119.2	A	0.78	114.68	A	0.56	88.52	A	0.7	114.14	A	0.75
1688_s_at	269.16	A	0.25	171.73	A	0.2	259.73	A	0.27	393.69	A	0.16	211.87	A	0.4	39.12	A	0.56	93.54	A	0.62	46.66	A	0.77
1689_at	235.35	A	0.3	193.63	A	0.23	350.49	A	0.3	241	A	0.36	363.47	A	0.38	381.68	A	0.36	384.16	A	0.34	644.92	A	0.27
169_at	38.3	A	0.99	27.76	A	0.96	49.11	A	0.91	31.96	A	0.95	72.08	A	0.95	43.27	A	0.98	67.38	A	0.98	98.06	A	0.95
1690_at	30.95	A	0.88	76.62	A	0.32	92.19	A	0.54	123.61	A	0.4	70.79	A	0.46	24.63	A	0.64	146.97	A	0.42	258.38	A	0.15
1691_at	73.79	A	0.72	79.17	A	0.46	189.68	A	0.27	133.94	A	0.12	51.37	A	0.91	110.72	A	0.44	46.77	A	0.81	174.03	A	0.6
1692_s_at	554.91	P	0.04	799.81	P	0.01	457.05	A	0.07	402.48	A	0.07	57.96	A	0.72	66.27	A	0.66	155.87	A	0.5	85.38	A	0.78
1693_s_at	148	A	0.7	332.66	A	0.23	48.93	A	0.77	71.57	A	0.7	3239	P	0	3049.8	P	0	3435.91	P	0	3608.37	P	0
1694_s_at	49.87	A	0.94	24.91	A	0.93	65.69	A	0.75	66.91	A	0.56	104.39	A	0.84	58.13	A	0.84	32.47	A	0.98	74.28	A	0.89
1695_at	3058.31	P	0	2171.15	P	0	1445.3	P	0.01	1930.73	P	0	1533.21	P	0.01	1639.71	P	0.01	1704.94	A	0.18	1133.59	A	0.18
1696_at	479.5	P	0.01	368.43	P	0	552.85	P	0	669.7	P	0	162.41	A	0.15	195.02	A	0.07	394.27	P	0.04	279.56	A	0.08
1697_s_at	33.85	A	0.95	5.84	A	0.99	46.97	A	0.95	13.43	A	0.98	34.98	A	0.97	13.97	A	0.97	16.75	A	0.97	12.03	A	0.99
1698_g_at	414.32	P	0.01	475.84	P	0	264.91	A	0.06	347.51	P	0.01	146.34	A	0.27	99.14	A	0.14	293.21	A	0.1	74.52	A	0.42
1699_at	30.31	A	0.72	101.78	A	0.16	34.14	A	0.62	70.12	A	0.28	130.56	A	0.4	111.02	A	0.19	152.53	A	0.15	189.64	A	0.23
170_at	562.72	A	0.25	357.72	A	0.27	674.87	A	0.16	394.84	A	0.32	697.62	A	0.12	646.94	A	0.16	730.16	A	0.3	944.54	A	0.19
1700_at	295.58	A	0.23	78.94	A	0.6	803.1	A	0.07	555.35	A	0.08	706.87	A	0.2	501.03	A	0.22	172.6	A	0.62	210.15	A	0.48
1701_at	38.88	A	0.81	86.67	A	0.34	76.56	A	0.28	84.02	A	0.36	183.51	A	0.52	92.16	A	0.4	148.99	A	0.44	223.31	A	0.34
1702_at	37.65	A	0.84	15.94	A	0.68	26.41	A	0.82	28.38	A	0.77	34.01	A	0.85	17.77	A	0.89	43.47	A	0.77	40.07	A	0.68
1703_g_at	518.56	P	0.04	685.45	P	0	496.68	P	0	381.71	P	0.01	1445.68	P	0	1589.2	P	0	747.42	M	0.05	522.58	P	0.02
1704_at	368.41	A	0.28	199.95	A	0.42	652.55	A	0.11	719.94	A	0.15	210.11	A	0.48	546.14	A	0.42	576	A	0.4	995.11	A	0.28
1705_s_at	55.68	A	0.4	85.78	A	0.2	45.44	A	0.54	27.45	A	0.75	64.65	A	0.48	45.6	A	0.4	77.88	A	0.38	67.29	A	0.5
1706_at	704.47	A	0.07	948.72	P	0.04	747.05	P	0.02	577.34	A	0.09	2115.32	P	0.01	2124.36	P	0	3972.65	P	0	3295.96	P	0
1707_g_at	674.99	A	0.11	995.96	P	0.03	827.37	A	0.13	597.97	A	0.2	1956.72	P	0.01	1639.08	P	0.01	4860.41	P	0	3095.65	P	0.01
1708_at	1414.92	P	0	1327.31	P	0	859.11	P	0	1075.47	P	0	99.88	A	0.19	37.83	A	0.54	32.62	A	0.46	22.14	A	0.78
1709_g_at	1776.94	P	0	1348.36	P	0	959.23	P	0	1130.41	P	0	28.77	A	0.6	27.1	A	0.64	63.15	A	0.77	38.89	A	0.6
171_at	1308.9	P	0	697.28	P	0	1215.81	P	0	1450.52	P	0	436.1	P	0.01	482.22	P	0.01	114.75	A	0.25	133.24	A	0.34
1710_s_at	35.77	A	0.58	65.78	A	0.36	294.26	A	0.09	248.55	P	0.02	157.34	A	0.25	216.79	A	0.16	48.51	A	0.77	70.49	A	0.58
1711_at	734.39	P	0.01	525.56	P	0.01	1227.75	P	0.01	1228.8	P	0.01	723.7	A	0.16	720.79	A	0.23	435.05	A	0.42	642.59	A	0.38
1712_s_at	160.09	A	0.07	95.47	M	0.05	243.67	M	0.05	339.78	P	0	128.94	A	0.23	98.25	A	0.13	94.77	A	0.28	18.73	A	0.73
1713_s_at	24.08	A	0.8	21.79	A	0.75	12.29	A	0.95	8.05	A	0.93	21.89	A	0.93	17.26	A	0.93	13.16	A	0.9	26.95	A	0.95
1714_at	145.17	A	0.1	79.06	A	0.14	254.49	P	0	166.16	P	0.01	214.11	P	0.01	277.02	P	0	251.36	P	0.01	374.51	P	0
1715_at	113	P	0.01	54.89	P	0	103.67	A	0.15	100.65	M	0.05	182.54	P	0.02	135.8	P	0.02	225.44	P	0	324.54	P	0
1716_at	47.89	A	0.91	25.35	A	0.86	93.04	A	0.78	53.93	A	0.84	93.9	A	0.81	59.87	A	0.8	243.94	A	0.6	143.01	A	0.7
1717_s_at	34.77	A	0.46	38.79	A	0.19	127.68	M	0.05	101.42	A	0.09	89.52	P	0.04	120.76	P	0	123.09	A	0.07	152.19	M	0.05
1718_at	3777.53	P	0	3250.15	P	0	3878.03	P	0	4006.85	P	0	3206.85	P	0	3169.46	P	0	2679.04	P	0	3094.72	P	0
1719_at	282.53	P	0.01	103.09	P	0	327.87	P	0	387.05	P	0	123.56	P	0.01	159.77	P	0	119.58	A	0.1	147	P	0.01
172_at	634.18	M	0.04	563.32	P	0.01	345.51	A	0.08	250.27	A	0.19	764.01	P	0.02	532.79	P	0.01	386.74	P	0.03	575.2	A	0.12
1720_at	25.16	A	0.95	7.12	A	0.98	11.12	A	0.93	7.2	A	0.95	21.76	A	0.98	34.1	A	0.86	15.16	A	1	32.51	A	0.89
1721_g_at	52.58	A	0.08	45.6	A	0.16	48.59	A	0.13	74.78	P	0.01	125.88	P	0.01	144.65	P	0	23.47	A	0.5	33.8	A	0.13
1722_at	127.08	A	0.3	179.66	P	0.03	211.59	A	0.28	178.51	A	0.23	23.96	A	0.94	23.18	A	0.64	26.24	A	0.73	23.15	A	0.75
1723_g_at	214.46	A	0.23	210.33	A	0.06	116.08	A	0.56	144.35	A	0.36	399.72	A	0.07	362.89	A	0.07	299.95	A	0.19	301.84	A	0.22
1724_at	191.86	A	0.5	249.84	A	0.2	147.95	A	0.64	70.18	A	0.58	494.26	A	0.22	452.37	A	0.22	373.08	A	0.32	608.25	A	0.32
1725_s_at	324.33	P	0.02	218.72	P	0	958.93	P	0	1173.22	P	0	121.72	A	0.42	135.24	A	0.1	29.15	A	0.72	112.87	A	0.28
1726_at	83.08	A	0.72	209.78	A	0.25	90.96	A	0.68	51.62	A	0.68	467.39	A	0.25	377.95	A	0.3	455.89	A	0.23	195.86	A	0.54
1727_at	21.74	A	0.42	60.28	A	0.22	178.61	P	0.01	346.15	P	0	15.43	A	0.9	42.37	A	0.52	22.31	A	0.72	91.44	A	0.5
1728_at	920.54	P	0	586.32	P	0	1360	P	0	1599.67	P	0	436.87	P	0.02	353.79	P	0.01	428.52	P	0.01	468.48	P	0.03
1729_at	91.98	A	0.84	85.33	A	0.72	71.74	A	0.92	55.08	A	0.89	120.35	A	0.9	67.78	A	0.82	344.53	A	0.7	329.75	A	0.73
173_at	599.92	P	0.01	359.04	P	0	342.29	A	0.07	317.07	A	0.07	75.77	A	0.46	122	A	0.44	51.83	A	0.56	89.41	A	0.42
