	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1076_at	36.12	A	0.27	40.33	A	0.13	92.22	A	0.11	90.27	P	0.03	104.83	A	0.18	43.53	A	0.12	46.67	A	0.25	10.17	A	0.58
1077_at	22	A	0.85	5.93	A	0.94	15.15	A	0.75	8.51	A	1	46.04	A	0.75	16.05	A	0.75	71.52	A	0.48	114.27	A	0.42
1078_at	19.22	A	0.9	63.43	A	0.44	21.12	A	0.8	64.09	A	0.75	31.86	A	0.81	51.64	A	0.7	31.95	A	0.77	44.64	A	0.66
1079_g_at	52.99	A	0.78	65.09	A	0.72	213.39	A	0.46	124.68	A	0.62	346.12	A	0.32	150.05	A	0.48	103.61	A	0.58	212.04	A	0.56
108_g_at	901.83	A	0.22	1112.11	A	0.14	525.75	A	0.4	407.89	A	0.4	83.83	A	0.68	83.79	A	0.66	120.35	A	0.56	322.72	A	0.56
1080_s_at	34.53	A	0.96	29.4	A	0.75	16.05	A	0.98	10.61	A	0.96	39.88	A	0.98	9.7	A	0.99	1120.48	P	0	3268.77	P	0
1081_at	1237.31	P	0	1058.01	P	0	2045.24	P	0	2180.17	P	0	1890.45	P	0	1698.55	P	0	878.85	P	0	1085.18	P	0
1082_at	125.83	A	0.42	143.67	A	0.08	392.67	P	0.02	259	M	0.05	94.48	A	0.58	90.81	A	0.3	114.85	A	0.46	300.74	A	0.25
1083_s_at	131.59	A	0.54	227.52	A	0.27	144.64	A	0.38	215.92	A	0.44	219.1	A	0.4	275.9	A	0.28	260.52	A	0.5	506.11	A	0.3
1084_at	43.8	A	0.95	72.3	A	0.68	122.08	A	0.62	46.25	A	0.82	55.78	A	0.77	71.18	A	0.64	51.39	A	0.89	63.73	A	0.81
1085_s_at	315.91	M	0.05	270.88	P	0.01	333.6	P	0.03	403.59	P	0.01	542.42	P	0	685.99	P	0	635.05	P	0	1017.07	P	0.01
1086_at	64.84	A	0.78	75.96	A	0.5	91.38	A	0.64	199.02	A	0.25	115.53	A	0.66	188.3	A	0.56	185.2	A	0.52	348.44	A	0.42
1087_at	149.02	A	0.36	172.42	A	0.12	128.36	A	0.4	41.91	A	0.66	1252.29	P	0	1419.88	P	0	64.02	A	0.7	257.42	A	0.44
1088_at	128.5	A	0.11	69.92	M	0.05	78.1	A	0.16	66.68	A	0.25	40.16	A	0.7	58.35	A	0.36	12.33	A	0.52	41.27	A	0.46
1089_i_at	319.49	A	0.23	201.75	A	0.17	33.61	A	0.54	512.66	A	0.54	413.2	A	0.46	352.84	A	0.3	700.14	A	0.12	919.66	A	0.3
109_at	1177.01	P	0	1072.26	P	0	710.57	P	0.03	876.98	P	0.02	805.1	A	0.07	964.34	P	0.04	1991.35	P	0	1975.41	P	0.02
1090_f_at	173.67	A	0.08	57.11	A	0.23	159.54	A	0.12	50.17	A	0.52	41.66	A	0.7	71.31	A	0.5	16.8	A	0.66	79.44	A	0.54
1091_at	12007.7	P	0	14867.31	P	0	2713.91	P	0.01	2348.16	P	0.01	1108.39	A	0.28	822.55	A	0.25	434.91	A	0.42	747.01	A	0.4
1092_at	237.46	A	0.68	222.18	A	0.72	618.72	A	0.68	526.19	A	0.5	930.43	A	0.72	855.16	A	0.72	920.26	A	0.6	1530.27	A	0.42
1093_at	57.41	A	0.4	63.42	A	0.09	57.55	A	0.3	97.69	P	0.03	332.82	P	0.02	344.39	P	0.01	72.76	A	0.42	127.09	A	0.19
1094_g_at	179.26	A	0.54	202.15	A	0.46	254.63	A	0.46	248.32	A	0.27	640.31	P	0.01	890.08	P	0	290.8	A	0.38	270.1	A	0.19
1095_s_at	43.79	A	0.36	13.53	A	0.58	14.95	A	0.62	4	A	0.82	46.8	A	0.7	89.68	M	0.04	36.95	A	0.72	107.61	A	0.08
1096_g_at	111.48	A	0.56	51.15	A	0.34	53.63	A	0.52	35.26	A	0.58	85.78	A	0.54	219.62	A	0.18	200.51	A	0.58	111.83	A	0.6
1097_s_at	194.67	A	0.16	152.57	P	0.03	204.74	A	0.16	175.09	A	0.14	358.17	A	0.13	392.77	P	0.04	640.8	P	0.03	633.6	A	0.1
1098_at	23.54	A	0.58	6.34	A	0.85	12.34	A	0.9	9.99	A	0.89	122.89	A	0.3	175.8	A	0.1	82.37	A	0.42	23.53	A	0.68
1099_s_at	300.42	A	0.54	508.89	A	0.15	133.23	A	0.62	121.17	A	0.36	375.7	A	0.38	75.05	A	0.64	266.19	A	0.48	131.2	A	0.56
110_at	213.92	A	0.52	207.9	A	0.32	829.68	A	0.1	673.65	A	0.2	1800.95	P	0.03	1437.73	P	0.02	233.73	A	0.6	554.03	A	0.44
1100_at	417.38	A	0.08	555.41	P	0.02	284.68	A	0.3	318.44	A	0.2	388.14	A	0.4	397.9	A	0.18	428.12	A	0.28	361.03	A	0.2
1101_at	1220.67	P	0	823	P	0	1027.41	P	0	1108.95	P	0	480.75	A	0.06	332.31	P	0.03	492.29	A	0.1	432.91	M	0.05
1102_s_at	93.05	A	0.25	26.57	A	0.27	89.17	A	0.23	79.91	A	0.28	124.66	A	0.22	169.27	A	0.12	39.24	A	0.73	32.89	A	0.64
1103_at	70.89	A	0.66	98.86	A	0.52	159.7	A	0.48	169.88	A	0.5	3305.62	P	0	3330.01	P	0	35898.3	P	0	21590.48	P	0
1104_s_at	3710.51	P	0	3374.27	P	0	2546.81	P	0	2411.53	P	0	21250.09	P	0	17625.11	P	0	7700.16	P	0	5260.43	P	0
1105_s_at	1453.98	P	0	1856.35	P	0	1096.17	P	0.02	1015.22	P	0.01	1005.97	P	0.01	730.06	M	0.05	1628.19	P	0.02	1249.34	P	0.02
1106_s_at	400.44	M	0.05	113.38	A	0.1	409.91	A	0.07	378	M	0.05	420.45	A	0.16	303.06	A	0.07	564.96	P	0.01	985.21	P	0.01
1107_s_at	1367.87	P	0	1434.63	P	0	395.4	M	0.04	423.99	P	0.04	998.33	P	0.03	888.25	P	0.01	2106.88	P	0	1920.04	P	0
1108_s_at	42.01	A	0.95	44.31	A	0.84	43.87	A	0.78	42.1	A	0.75	224.25	A	0.44	313.99	A	0.38	606.05	A	0.18	547.32	A	0.18
1109_s_at	51.34	A	0.73	47.65	A	0.66	35.67	A	0.7	26.92	A	0.81	46.05	A	0.77	37.78	A	0.72	46.88	A	0.75	42.44	A	0.72
111_at	611.57	P	0.02	828.57	P	0.01	362.99	A	0.12	424.17	A	0.07	474.5	M	0.05	286.25	A	0.07	1001.66	P	0.02	757.33	P	0.04
1110_at	159.01	P	0.03	121.34	A	0.19	255.51	P	0.04	150.12	A	0.14	235.5	A	0.11	164.73	A	0.11	189.5	A	0.3	332.75	A	0.28
1111_at	27.9	A	0.88	29.15	A	0.62	47.91	A	0.7	64.65	A	0.64	48.93	A	0.75	60.26	A	0.58	77.92	A	0.62	59.97	A	0.73
1112_g_at	385.31	P	0.04	491.63	P	0.01	657.43	P	0.02	742.09	P	0.02	415	A	0.11	447.59	M	0.05	575.63	A	0.06	735.3	P	0.04
1113_at	35.99	A	0.87	21.57	A	0.73	14.86	A	0.98	14.47	A	0.95	81.96	A	0.72	39.77	A	0.87	18.73	A	0.98	33.57	A	0.89
1114_at	266.28	A	0.19	164.91	A	0.28	72.96	A	0.46	81.32	A	0.5	284.11	A	0.25	271.76	A	0.12	133.62	A	0.44	31.09	A	0.62
1115_at	47.51	A	0.73	73.3	A	0.44	63.35	A	0.4	54.05	A	0.6	2311.39	P	0	2894.85	P	0	177.07	A	0.32	150.64	A	0.36
1116_at	185.82	A	0.28	145.66	A	0.27	444.7	A	0.07	266.21	A	0.16	358.86	A	0.2	313.87	A	0.19	235.84	A	0.4	393.91	A	0.19
1117_at	26.63	A	0.81	51.13	A	0.3	64.88	A	0.32	52.7	A	0.46	266.97	A	0.15	287.28	M	0.04	1090.44	P	0.01	1301.85	P	0.01
1118_at	58.33	A	0.56	26.51	A	0.6	32.79	A	0.78	29.82	A	0.84	44.96	A	0.7	30.02	A	0.78	27.94	A	0.81	55.33	A	0.72
1119_at	851.83	P	0	742.34	P	0	586.35	P	0	618.07	P	0	637.75	P	0	630.58	P	0	466.51	P	0	543.67	P	0
112_g_at	18.69	A	0.82	37.9	A	0.34	141.53	P	0.04	202.41	P	0.03	120.24	A	0.2	109.89	A	0.18	30.03	A	0.7	41.96	A	0.54
1120_at	553.13	P	0	319.85	P	0.01	591.03	P	0.02	577.36	P	0.01	448.85	A	0.18	388.25	A	0.15	308.01	A	0.16	435.13	A	0.16
1121_g_at	640.56	M	0.05	504.9	A	0.09	557.36	A	0.16	642.1	A	0.06	190.47	A	0.42	219	A	0.34	274.21	A	0.44	372.97	A	0.4
1122_f_at	756.36	P	0	764.73	P	0.01	585.88	P	0.02	550.14	P	0.01	1103.12	P	0.01	1019.46	P	0	1133.65	P	0	782.12	P	0.01
1123_at	40.78	A	0.98	34.88	A	0.93	31.19	A	0.99	31.97	A	0.99	79.34	A	0.93	40.79	A	0.97	34.87	A	1	64.51	A	0.99
1124_at	952.32	P	0.02	677.02	P	0.02	1103.61	P	0	1089.38	P	0	610.17	A	0.18	590.5	A	0.06	612.82	P	0.02	677.57	A	0.1
1125_s_at	13.24	A	0.91	11.9	A	0.78	18.42	A	0.75	62.6	A	0.64	15.63	A	0.9	20.74	A	0.89	15.65	A	0.94	23.91	A	0.94
1126_s_at	40.27	A	0.58	29.12	A	0.25	47.97	A	0.54	59.73	A	0.6	124.29	A	0.34	204.7	A	0.08	124.92	A	0.4	78.12	A	0.4
1127_at	394.16	A	0.4	492.84	A	0.36	334.23	A	0.52	175.4	A	0.68	553.46	A	0.38	460.58	A	0.4	538.13	A	0.44	658.05	A	0.5
1128_s_at	195.28	A	0.2	85.95	A	0.36	252.09	A	0.16	55.01	A	0.32	309.68	A	0.07	180.18	A	0.28	215.67	A	0.28	210.86	A	0.3
